epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2711,2.20184,3.31722,2.21624,0.00649,0.6,0.04195,0.01368,2.04278,4.08546,2.16434,0.00013336,0.00013336,0.00013336
2,38.6323,2.05256,3.20859,2.14021,0.00446,0.4,0.08015,0.03969,1.86499,3.8342,2.19252,0.000277779,0.000277779,0.000277779
3,54.1577,1.78728,2.84055,1.97934,0.00698,0.6,0.06608,0.02414,2.14497,3.97786,2.49753,0.000416257,0.000416257,0.000416257
4,69.2525,1.85722,2.58556,1.96856,0.00693,0.6,0.03583,0.01336,2.102,3.93343,2.76489,0.000548793,0.000548793,0.000548793
5,84.3097,1.78565,2.48476,1.86811,0.00899,0.8,0.06012,0.01547,2.08422,3.8032,2.63788,0.000675388,0.000675388,0.000675388
6,99.7788,1.75273,2.26514,1.84931,0.0098,0.8,0.09331,0.03976,2.01474,3.65413,2.47336,0.000796043,0.000796043,0.000796043
7,115.275,1.70322,2.18653,1.82243,0.0087,0.6,0.04836,0.02192,2.24141,4.00015,2.97847,0.000910755,0.000910755,0.000910755
8,130.379,1.79236,2.22716,1.87236,0.01304,0.6,0.06047,0.02093,2.82106,4.46061,3.85024,0.00101953,0.00101953,0.00101953
9,145.525,1.60469,2.21505,1.74717,0.00897,0.4,0.02528,0.01259,3.02846,4.62768,4.25529,0.00112236,0.00112236,0.00112236
10,160.565,1.75118,2.19827,1.80309,0.01119,0.6,0.02626,0.00514,3.22788,4.40474,4.4269,0.00121925,0.00121925,0.00121925
11,175.752,1.64018,2.05159,1.71559,0.00529,0.4,0.01974,0.00958,3.19987,4.38921,4.58577,0.0013102,0.0013102,0.0013102
12,191.494,1.63415,2.02242,1.71896,0.09157,0.2,0.04959,0.00762,2.87303,4.14724,3.22765,0.00130393,0.00130393,0.00130393
13,206.488,1.66383,2.03981,1.78758,0.20504,0.2,0.247,0.09252,2.54634,3.43953,3.70538,0.00127092,0.00127092,0.00127092
14,221.477,1.66181,2.05476,1.73353,0.48095,0.2,0.139,0.02026,2.40755,3.91253,3.0953,0.00123791,0.00123791,0.00123791
15,236.683,1.64138,1.98525,1.72279,0.45914,0.4,0.21148,0.03128,2.53776,4.02782,3.33374,0.00120491,0.00120491,0.00120491
16,251.669,1.63705,2.0033,1.76939,0.12844,0.4,0.09142,0.02608,2.81682,3.74041,3.52389,0.0011719,0.0011719,0.0011719
17,266.762,1.59375,1.93762,1.73046,0.19725,0.2,0.09252,0.01658,2.87361,4.17572,3.52483,0.00113889,0.00113889,0.00113889
18,282.118,1.5902,1.96032,1.70413,0.12245,0.2,0.08259,0.02109,2.63658,4.30813,3.32909,0.00110589,0.00110589,0.00110589
19,297.232,1.51319,1.7598,1.62576,0.15289,0.4,0.0937,0.01506,2.87299,4.5862,3.04146,0.00107288,0.00107288,0.00107288
20,312.409,1.51098,1.73911,1.59175,0.05832,0.2,0.05728,0.01121,2.60621,4.10962,3.03163,0.00103987,0.00103987,0.00103987
21,327.493,1.52874,1.82217,1.64588,0.10315,0.2,0.06805,0.01769,2.53472,3.90076,3.23773,0.00100687,0.00100687,0.00100687
22,342.609,1.51098,1.78514,1.60237,0.07257,0.4,0.09945,0.02,2.62096,3.8791,3.33784,0.000973861,0.000973861,0.000973861
23,357.646,1.54561,1.75941,1.56206,0.4041,0.2,0.13567,0.01733,3.0806,3.72895,3.37692,0.000940855,0.000940855,0.000940855
24,372.684,1.45688,1.68554,1.55128,0.89241,0.2,0.22695,0.04509,3.19979,4.12366,3.42943,0.000907848,0.000907848,0.000907848
25,388.004,1.45533,1.84177,1.58773,0.95001,0.2,0.2187,0.04441,2.90918,3.54372,3.36747,0.000874842,0.000874842,0.000874842
26,402.994,1.44688,1.65127,1.50976,0.95584,0.2,0.2108,0.06174,2.93194,3.6081,3.35215,0.000841835,0.000841835,0.000841835
27,418.079,1.35054,1.59284,1.49216,0.55145,0.2,0.20245,0.06078,2.76202,3.4609,3.04895,0.000808828,0.000808828,0.000808828
28,433.03,1.38012,1.54536,1.46566,0.45262,0.2,0.21882,0.04744,2.54293,3.44332,2.8695,0.000775822,0.000775822,0.000775822
29,448.145,1.36487,1.4943,1.46766,0.37189,0.2,0.24088,0.05597,2.43164,3.59028,2.70876,0.000742815,0.000742815,0.000742815
30,463.195,1.34566,1.56445,1.45515,0.0507,0.6,0.11426,0.02625,2.38484,3.56361,2.60748,0.000709809,0.000709809,0.000709809
31,478.45,1.35353,1.55121,1.4822,0.07265,0.4,0.1486,0.03942,2.52678,3.48387,2.68767,0.000676802,0.000676802,0.000676802
32,493.458,1.35761,1.50014,1.45957,0.39857,0.39809,0.17032,0.04888,2.60994,3.54061,2.73286,0.000643795,0.000643795,0.000643795
33,508.334,1.34902,1.47437,1.46102,0.07859,0.4,0.12178,0.03405,2.59344,3.48216,2.72792,0.000610789,0.000610789,0.000610789
34,523.292,1.29891,1.4406,1.45509,0.08544,0.2,0.10365,0.02395,2.58479,3.40354,2.80307,0.000577782,0.000577782,0.000577782
35,538.318,1.33039,1.49048,1.48041,0.47142,0.2,0.16484,0.03874,2.88149,3.3135,3.16244,0.000544776,0.000544776,0.000544776
36,553.356,1.2381,1.38481,1.34697,0.4703,0.18812,0.16009,0.03625,3.06048,3.34411,3.31508,0.000511769,0.000511769,0.000511769
37,568.536,1.25502,1.41932,1.40542,0.28265,0.4,0.12732,0.04422,2.99125,3.41792,3.17409,0.000478762,0.000478762,0.000478762
38,583.736,1.18381,1.39935,1.36151,0.49003,0.38804,0.20231,0.06716,2.84125,3.42884,2.87165,0.000445756,0.000445756,0.000445756
39,599.245,1.22752,1.33512,1.41165,0.36996,0.4,0.20207,0.06561,2.69308,3.13645,2.67398,0.000412749,0.000412749,0.000412749
40,614.511,1.19261,1.33179,1.37808,0.42038,0.4,0.20748,0.05601,2.55713,3.24874,2.67296,0.000379743,0.000379743,0.000379743
41,629.543,1.03928,1.29073,1.29594,0.3314,0.4,0.17699,0.06036,2.46523,3.23782,2.59165,0.000346736,0.000346736,0.000346736
42,644.26,1.08596,1.32184,1.30571,0.29113,0.4,0.18064,0.06505,2.46797,3.28727,2.62829,0.000313729,0.000313729,0.000313729
43,659.013,1.08117,1.21819,1.30665,0.16656,0.4,0.13341,0.04689,2.58306,3.22631,2.76339,0.000280723,0.000280723,0.000280723
44,673.851,1.02314,1.2422,1.29707,0.19848,0.49927,0.14718,0.04426,2.56541,3.28307,2.82233,0.000247716,0.000247716,0.000247716
45,688.584,1.03772,1.24721,1.30474,0.21274,0.6,0.17647,0.04507,2.52947,3.34119,2.84436,0.00021471,0.00021471,0.00021471
46,703.411,1.03651,1.18981,1.31169,0.24438,0.4,0.22695,0.05436,2.44939,3.35379,2.82149,0.000181703,0.000181703,0.000181703
47,718.079,0.96571,1.15883,1.25894,0.22767,0.6,0.20878,0.0513,2.38281,3.20898,2.8042,0.000148696,0.000148696,0.000148696
48,732.945,0.95022,1.19362,1.23548,0.2207,0.6,0.19637,0.06093,2.19653,3.1334,2.64163,0.00011569,0.00011569,0.00011569
49,747.663,0.94649,1.12784,1.22993,0.21659,0.6,0.17661,0.0536,2.13715,3.05485,2.60314,8.26832e-05,8.26832e-05,8.26832e-05
50,762.345,0.98445,1.15209,1.23054,0.22023,0.6,0.23697,0.07877,2.09579,2.94054,2.47474,4.96766e-05,4.96766e-05,4.96766e-05
